trabajos_realizados,clasificacion,lugar,cliente
"Suministro de 4 seccionadadores en sólido dielectrico, 35 kV, 600A.",Proyecto,,PEMEX
"Suministro de 4 Transformadores Tipo Seco Encapsulado, 1000kVA 4,16/0,48 kV Gabinete IP66.",Proyecto,,PEMEX
Suministro de E-Cabinet Triol 1000 KVA IP66.,Proyecto,,PEMEX
"Suministro de resistencia de puesta a tierra (RPT) 2,400V L/N, 400A, NEMA 3R",Proyecto,,PEMEX
"Trabajo en Turbina de vapor de Juego de cuchillas 1, instalación de 2301D-ST (antes TG1). Suministro y comisionamiento con tablero de control y actuador VALTEK 25",Servicio EPC,Oaxaca,Ingenio Adolfo López Mateos
"Trabajo en turbogenerador 2, comisionamiento de un gobernador Woodward 505 y se suministró e instaló un actuador VALTEK 50.",Servicio EPC,Tabasco,Ingenio Santa Rosalía
"Elaboración de conos de alivio y prueba de cables de potencia en 4.16 kv. Elaboración de terminales / Mangas o conos de alivio, conexionado y torque, resistencia de aislamiento y prueba de alto potencial.",Servicio,Campeche,Servicios Marítimos de Campeche/ Pemex
"Trabajo en PLANTA DE FUERZA, se repararon 2 gobernadores mecánico PGPL y se comisiono 1 en turbogenerador TG1 de 5MW.",Servicio,Estado de M?xico,Papeles Ultra
Construcción del tablero de control para la medición de los patines de gas húmedo amargo.,Automatización,Tabasco,Pemex G.T.D.H
Integración de señales al sistema de monitoreo y control de Praxis.,Automatización,Campeche,Cotemar
"Servicio mecánico a turbina, balanceo dinámico y pruebas alavés y flecha.",Servicio,Jalisco,Ingenio Tamazula
"Instalación y prueba; Pruebas eléctricas preoperatorias, puesta en marcha y pruebas de desempeño a tableros de distribución Metal Encloused y centro de control de motores, Schneider Electric.",Proyecto,Campeche,Plataforma MALOOB A - Pemex
Migración de equipos Woodward de sincronía (MSCLC2 con DECS20).,Servicio,,Ingenio Santa Ana
Construcción de Subestación Eléctrica.,Servicio,,PIASA
"Elaboración, instalación e interconexión de terminales en media tensión para los circuitos de fuerza del sistema de generación.",Servicio,Campeche,Plataforma EK-A- Pemex
"Instalación, interconexión, configuración, pruebas de funcionamiento, puesta en operación y pruebas de desempeño de variador de frecuencia VDF-01, 4160volts.",Servicio,Campeche,Plataforma BALAM-TB COTEMAR
"Revisión, evaluación, diagnóstico y corrección del variador de velocidad VDF-08-02.",Servicio,Campeche,AYATSIL-A ACTIVO KUMAZA -Pemex
Servicio de mantenimiento especializado a motor tipo jaula de ardilla marca: HYUNDAI 2560 HP.,Proyecto,Jalisco,Planta de Nitrógeno Cantarell (LINDE) Villahermosa
Servicio de mantenimiento especializado a motor tipo jaula de ardilla marca: HYUNDAI 600 HP.,Proyecto,Jalisco,Planta de Nitrógeno Cantarell (LINDE) Villahermosa
"Suministro, instalación, de refacciones para la rehabilitación de sección con interruptor ALS 5315 int de enlace de tablero metal-clad.",Proyecto,Jalisco,CFE Transmisión
"Suministro, instalación, de refacciones para la rehabilitación de sección con interruptor ALS 56-235 int de enlace de tablero metal-clad.",Proyecto,Jalisco,CFE Transmisión
"Trabajos de preparativos, instalación, pruebas hipot e interconexión de terminales termo contráctiles de conos de alivio para 5kv.",Servicio,Campeche,PlataformaBALAM-A -Pemex
Ajuste y configuración de 4 arrancadores suaves marca ABB 100 HP.,Servicio,Campeche,Plataforma BALAM A y TD COTEMAR
Habilitar la señal eléctrica de disparo en interruptor de seccionador.,Servicio,Campeche,EK-A- COTEMAR
Instalación e interconexión con personal técnico especializado de arreglo para suministro eléctrico de fuente de alimentación conmutada 24 vcd y módulo de redundancia para el energizado de las solenoides y transmisor de posición para la válvula pv-3038 ubicada en la plataforma Akal-C2.,Servicio,Campeche,Plataforma AKAL-C2 PERFORACION COTEMAR
"Instalación, interconexión y configuración de 03 variadores de frecuencia.",Servicio,Campeche,COTEMAR
"Interconexión, configuración, integración, pruebas preoperacionales sistema SDMC marca honeywell con desplegados gráficos.",Servicio,Campeche,AKAL-B- COTEMAR
Instalación y configuración de lámparas de señalización en el centro de proceso.,Servicio,Campeche,AKAL-J - PEMEX
"Instalación, interconexión, configuración, pruebas de funcionamiento, puesta en operación y pruebas de desempeño del sistema de fuerza interrumpible.",Servicio,Campeche,EK-A - COTEMAR
Servicio de canalización de cableado de MT desde variador a tablero de distribución en plataforma marina.,Proyecto,Tabasco,Pemex
Servicio de canalización y cableado para una bomba electro centrifuga en plataforma marina.,Proyecto,Tabasco,Pemex
"Trabajos de adecuación, instalación, además de la conexión de señales de control y medición de los relevadores de protecciones de generador para los turbogeneradores TG-01 y TG-02.",Servicio,Campeche,AKAL-J3 - PEMEX
Servicio de inspección y mantenimiento General de grúa AMCLYDE 5500.,Servicio,Campeche,ZAAP-C PEMEX
Suministro e instalación de 1250 kva de bombeo para Oil & Gas.,Proyecto,,Baker Hughes
Contrato de Rehabilitación integral de transformadores de potencia y distribución. Numero de contrato: 648814801,Contrato,,PEMEX
"Asesoría, suministro, comisionamiento de tablero de distribución de carga eléctrica para la nueva planta eléctrica, incluyendo sincronización con CFE, importación y exportación.",Servicio EPC,Veracruz,Eurocontrol Electric Ingenio San Nicolás
"Fabricación, Suministro, Pruebas eléctricas preoperatorias, puesta en marcha y pruebas de desempeño a un tablero de transferencia eléctrica automática formada por 11 interruptores de 3200 Amperes. Fabricación, Suministro, pruebas eléctricas preoperatorias, puesta en marcha y pruebas de desempeño a un CCM montaje removible de bus principal de 600 Ampbus derivado de 30 Amperes, en 480 Volts, UL con comunicación Profibus, una pantalla de visualización de estado de las combinaciones de arrancadores, de los interruptores en módulos removibles",Servicio EPC,Campeche,Servicios Marítimos de Campeche / Pemex
"Trabajo en turbogenerador NEB TG1, suministro, instalación y comisionamiento de un gobernador Woodward 505 y se adaptó un nuevo actuador UG40.",Servicio EPC,Michoac?n,Ingenio Santa Clara
Actualización del Sistema de bomba de condensado / CFE Mérida II.,Servicio EPC,,CFE
Comisionamiento de transformador de potencia de 1500 kva. Prueba de resistencia de aislamiento (Megger). Prueba de resistencia óhmica a devanados. Prueba de Factor de potencia. Prueba de relación de transformación TTR. Pruebas en marcha y pruebas de desempeño.,Servicio,Campeche,Servicios Marítimos de Campeche/ Pemex
"Fabricación, suministro, pruebas eléctricas preoperatorias, puesta en marcha y pruebas a tablero para acoplar a un sistema existente, con transferencia automática por 9 interruptores 2000 Amperes UL, tiene integrado un sistema de monitoreo de puntos calientes visualizados mediante una pantalla. Sistema Profibus vinculado con SCADA de control.",Servicio EPC,Campeche,Servicios Marítimos de Campeche/ Pemex
"Fabricación, suministro, pruebas eléctricas preoperatorias, puesta en marcha y pruebas de desempeño a Seccionador de 5 interruptores de 600 Amperes en 34.5kV y relevadores SEL 751, UL.. Fabricación, suministro, pruebas eléctricas preoperatorias, puesta en marcha y pruebas de desempeño a 2 transformadores de 3500 KVA en 34.5kV. Fabricación, suministro, pruebas eléctrica preoperatorias, puesta en marcha y pruebas de desempeño a dos resistencias de puesta a tierra para transformador de 3500 KVA en 34.5 kV.",Servicio EPC,Campeche,Servicios Marítimos de Campeche/ Pemex
Modernización del control de velocidad de turbina y planta de generación.,Servicio EPC,Michoac?n,Ingenio Santa Clara
Actualización del sistema de filtrado y centrifugado.,Servicio EPC,Campeche,Dragados / Pemex
Actualización del Sistema eléctrico de distribución.,Servicio EPC,Campeche,Cotemar /Pemex
"Configuración, puesta en servicio del sistema de control basado en PLC Allen Bradley de Rockwell para el control de la Bomba tipo tornillo TAB1290A.",Automatización,Campeche,Pemex
"Desarrollo del nuevo sistema de control de generación en planta geotérmica, sincronización con CFE, importación y exportación, Sistema de Vibraciones, incluyendo ingeniería, suministro, instalación y puesta en marcha con los siguientes equipos 505, DSLC, MSCL, PROTECH de Woodward, PLC S7 Y HMI Siemens, 3500 de Bently Nevada, DECS 250 de Basler Electric, adicional se entregaron tableros de control y se rehabilitaron tableros eléctricos y se hicieron servicios de cableado y pruebas eléctricas a instalación y transformador de potencia.",Servicio EPC,Nayarit,Grupo Dragón
"Fabricación, suministro, pruebas eléctricas preoperatorias, de un sistema fotovoltaico, incorporado por: arreglo fotovoltaico, unidad de control de carga, inversor de corriente, banco de bateras, tablero de distribución.",Servicio,Campeche,Servicios Marítimos de Campeche / Pemex
Modernización de control de velocidad de una turbina de un molino con PEAK 150.,Servicio EPC,Morelos,Ingenio La Abeja
"Suministro, instalación, configuración y puesta en marcha de equipo DSCL- 2 para sistema de generación con 5 máquinas Wartsilla 3000 Kw.",Proyecto,Campeche,PSS. CHEMUL
"Suministro, pruebas eléctricas preoperatorias, puesta en marcha y pruebas de desempeño a un UPS 10 KVA y transformador acondicionador de línea con Banco de baterías de 295 Ah.",Servicio,Campeche,Servicios Marítimos de Campeche / Pemex
Actualización del sistema de control de 2 turbinas de gas.,Servicio EPC,Campeche,Pemex
Modernización del control de velocidad para turbina de vapor en ingenio con Peak 150 y actuador PG - PL de Woodward.,Proyecto,Morelos,Ingenio Casasano
